title,composedby,key,timesig,bars,chordprog
You Oughta Be In Pictures,Dana Suesse and Edward Heyman,C,4 4,32,"C C C Am7 | Dm7 G7 | C C7 Am7 Am7 | C |
Dm7 Dm7 G7 C#o7 | G7 | C C#o7 | Dm7 G7 |
C C C Am7 | Dm7 G7 | C C7 Am7 Am7 | C C C Am7 |
Em7 A7 | Em7 A7 | C7 D7 | G G7 |
C C C7 C | C7 Am7 Am7 D#o7 | Dm7 | G7 |
Dm7 G7 | G7 | C C C7 Am7 | Dm Dm Dm G+ |
C C C7 C | C7 Am7 Am7 D#o7 | Dm7 | G7 |
Dm7 G7 | G7 | C C C7 Am7 | B7 |
Em7 G+ | Em7 G+ | Em7 G | Em7 A7 Em7 Em7 |
G Emi | G D7 | Em7 D7 | G7 |
C C C7 C | C7 Am7 Am7 D#o7 | Dm7 | G7 |
Dm7 G7 | G7 G7 G7 F | Dm7 G7 | C |"
Your Mother Should Know,John Lennon and Paul McCartney,C,4 4,50,"Am | Am | Am | F |
A7/E | Dm | G7 | C C/B |
A7 | D7 | G7 | C |
E7 | Am | F | A7/E |
Dm | G7 | C C/B | A7 |
D7 | G7 | C | A7 |
D7 | D7 | G7 | G7 C |
C E7 | E7 Am | Am F | F A7/E |
A7/E Dm | Dm G7 | G7 C | C/B A7 |
A7 D7 | D7 G7 | G7 C | C E7 |
E7 Am | Am F | F A7/E | A7/E Dm |
Dm G7 | G7 C | C/B A7 | A7 D7 |
D7 G7 | G7 G7 C |"
Yellow Days,Alvaro Carrillo,F,4 4,32,"Gm7 | C7 | FM7 Bb7 | Am7b5 D7b9 |
G7 | C7 | FM7 Bb7 | Am7 D7b9 |
Gm7 | C7 | FM7 Bb7 | Am7b5 D7b9 |
G7 | C7 | FM7 Bbm6 | FM7 |
Cm7 | F7 | BbM7 | Bbm7 Eb7 |
AbM7 | Dm7 G7b9 | CM7 | C7 D7 |
Gm7 | C7 | FM7 Bb7 | Am7b5 D7b9 |
G7 | C7 | FM7 | Am7 D7b9 |"
Walk Right In,Gus Cannon,C,4 4,16,"C | A7 | D7 G7 | C |
C | A7 | D7 | G7 |
C | C7 | F | D7 |
C | A7 | D7 G7 | C G7+ |"
September Song,Kurt Weil and Maxwell Anderson,C,4 4,32,"Cm6 | Fm7 | C | C |
D7 | Dm7b5 G7 | C | C |
Cm6 | Fm7 | C | C |
D7 | Dm7b5 G7 | C | C |
Fm | Fm | F#o | F#o |
Fm | Fm | F#o | F#o |
Cm6 | Fm7 | C | C |
D7 | Dm7b5 G7 | C | C |"
Passion Dance,McCoy Tyner,C,4 4,32,"F7sus4 | F7sus4 | F7sus4 | F7sus4 |
F7sus4 | F7sus4 | F7sus4 | F7sus4 |
F7sus4 | F7sus4 | F7sus4 | F7sus4 |
F7sus4 | F7sus4 | F7sus4 | F7sus4 F7sus4 F7sus4 Absus4 |
Bsus4 Bsus4 Bsus4 Dbsus4 Dbsus4 Dbsus4 Dbsus4 Dbsus4 | Dbsus4 Dbsus4 Dbsus4 Absus4 | Bsus4 Ebsus4 Dbsus4 Dbsus4 | Dbsus4 Dbsus4 Dbsus4 Absus4 |
Bsus4 Bsus4 Bsus4 Dbsus4 Dbsus4 Dbsus4 Dbsus4 Dbsus4 | Dbsus4 Dbsus4 Dbsus4 Absus4 | Bsus4 Ebsus4 Dbsus4 Dbsus4 | Dbsus4 Dbsus4 Dbsus4 Absus4 |
Db/Eb Db/Eb Db/Eb Ebm7 Ebm7 Ebm7 Ebm7 Ebm7 | Ebm7 | Db/Eb Db/Eb Db/Eb Ebm7 Ebm7 Ebm7 Ebm7 Ebm7 | Ebm7 |
Db/Eb Db/Eb Db/Eb Ebm7 Ebm7 Ebm7 Ebm7 Ebm7 | Ebm7 | Bb7#9 C7#9 | C7#9 |"
Under The Boardwalk,Artie Resnick and Kenny Young,C,4 4,26,"C | C | G7 | G7 |
G7 | G7 | C | C |
F | F | C | C |
C | G7 | C | C |
Am | Am | G | G |
Am | Am | G | G |
Am | Am |"
Stranger in Paradise,George Forrest and Robert Wright,F,4 4,48,"Dm7 | G7 | CM7 F7 | Em7 Am7 |
Dm7 | G7 | CM7 | Em7 A7 |
Dm7 | G7 | CM7 F7 | Em7 Am7 |
Dm7 | G7 | CM7 | CM7 |
Ab7 | Ab7 | DbM7 | DbM7 |
Gm7b5 | C7alt | Fm7 | Fm7 |
Bm7 | E7 | AM7 | AM7 |
Dm7 | G7 | Em7 | A7 |
Dm7 | G7 | CM7 F7 | Em7 Am7 |
Dm7 | G7 | CM7 | CM7 |
F#m7b5 | Fm7 | Em7 | Ebm7 |
Dm7 | G7 | C | A7 |"
Who's Afraid of the Big Bad Wold,Frank Churchill,G,4 4,64,"GM7 Em7 | Am7 D7 | Am7 D7 | GM7 |
GM7 Em7 | Am7 D7 | Am7 D7 | G6 G6 Am7 D7 |
GM7 Em7 | Am7 D7 | Am7 D7 | GM7 |
GM7 Em7 | Am7 D7 | Am7 D7 | G6 G6 Em7 A7 |
D6 Bm7 | Em7 A7 | D6 Bm7 | Em7 A7 |
D6 Bm7 | Em7 A7 | Em7 A7 | D6 D6 Em7 A7 |
D6 Bm7 | Em7 A7 | D6 Bm7 | Em7 A7 |
D6 Bm7 | Em7 A7 | Em7 A7 | D6 D6 Am D7 |
GM7 C#7 | F#m7 B7 | Em7 A7 | DM7 |
GM7 C#7 | F#m7 B7 | E7 | Em7 A7 |
D6 B7 | Em7 A7 | D6 B7 | Em7 A7 |
D6 B7 | Em7 A7 | Em7 A7 | D6 D6 Am7 D7 |
GM7 Em7 | Am7 D7 | Am7 D7 | GM7 |
GM7 Em7 | Am7 D7 | Am7 D7 | G6 G6 Am7 D7 |
GM7 Em7 | Am7 D7 | Am7 D7 | GM7 |
GM7 Em7 | Am7 D7 | Am7 D7 | G6 G6 Em7 A7 |"
A Picture of You,Johnny Beveridge and Peter Oakman,G,4 4,64,"G | G | F | D7 |
G | G | F | D7 |
C | C | D7 | D7 D13 |
G | C | G | D7 |
G | G | F | D7 |
G | G | F | D7 |
C | C | D7 | D7 D13 |
G | C | G | G |
Bm | Am | Bm | Am |
Bm | Am | D13 | D13 |
G | G | Em | Em |
C | C | D7 | D7 |
G | G | F | D7 |
G | G | F | D7 |
C | C | D7 | D7 D7 D7 D13 |
G | C | G C | G |"
Summer Samba,"Marcos Valle, Paulo Sergio Valee, and Norman Gimbel",F,4 4,32,"FM7 | FM7 | Bm7 | E7 |
BbM7 | BbM7 | Eb7 | Eb7 |
Am7 | D7b9 | Gm7 | Em7b5 A7alt |
Dm7 | G7 | Gm7 | Db7 C7 |
FM7 | FM7 | Bm7 | E7 |
BbM7 | BbM7 | Eb7 | Eb7 |
Am7 | D7b9 | Gm7 | C7 |
FM7 | Bb7 | FM7 | Gm7 C7 |"
Seabrook Revisited,Jack Zucker,A,4 4,64,"AM7 | AM7 | FM7 | FM7 |
AM7 | AM7 | Em7 | A7alt |
DM7 | C#7b9 | F#m7 | B7b9#11 |
GM7#11 | GM7#11 | FM7#11 | FM7#11 |
AM7 | AM7 | FM7 | FM7 |
AM7 | AM7 | Em7 | A7alt |
DM7 | C#7b9 | F#m7 | B7b9#11 |
GM7#11 | GM7#11 | FM7#11 | FM7#11 |
Am7b5 | D7b9 | Gm7 | Gm7/F |
BM7 | E7 | Ebm7 | Dm7 G7 |
F#M7 | EM7 | DM7 | CM7 |
A/B | A/B | BbM7#11 | BbM7#11 |
AM7 | AM7 | FM7 | FM7 |
AM7 | AM7 | Em7 | A7alt |
DM7 | C#7b9 | F#m7 | B7b9#11 |
GM7#11 | GM7#11 | FM7#11 | FM7#11 |"
Wall-Eye Blues,Arnold Loupacci,Bb,4 4,12,"Bb7 | Eb7 | Bb7 B7 | Bb7+ E7 |
Eb7 | Eb7 Ab7 | Bb7 Ab7 | G7#11 Db7#11 |
Cm7 | F7#9 | Bb7 G7#11 | C7#9 F7 |"
Street Of Dreams,Victor Young,Eb,4 4,32,"F7 | F7 | Fm7 | Bb7 |
Eb6 | Ab7#11 | Gm7 | C7#5#9 |
F7 | F7 | Fm7 | Bb7 |
Eb6 | Eb6 | Bbm7 | Eb7 |
Ab6 | Ab6 | Abm | Db7 |
Eb6 | Eb6 | Db7 | C7 |
F7 | F7 | Db7#11 | Db7#11 |
Fm7 | Bb7 | Eb6 | Eb6 C7alt |"
Too Young To Go Steady,Jimmy McHugh,F,4 4,32,"FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
Am7 D7 | Gm7 Gm7 Em7b5 A7alt | Dm7 G7 | Gm7 C7 |
FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
Am7 D7 | Gm7 C7 | FM7 | Bm7b5 E7alt |
Am7 | Bm7b5 E7alt | Am7 | Bm7b5 E7alt |
Am7 | Bm7b5 E7alt | Am7 D7 | Gm7 C7 |
FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
Am7 D7 | Gm7 Gm7 Em7b5 A7alt | Dm7 G7 | Gm7 C7 |"
Shoo Fly Pie and Apple Pan Dowdy,Guy Wood and Sammy Galllop,F,4 4,32,"F6 F7/A | BbM7 C7 | F6 Abo7 | G7 C7 |
F6 F7/A | BbM7 F/A | F6 BbM7 | C7 F6 |
F6 F7/A | BbM7 C7 | F6 Abo7 | G7 C7 |
F6 F7/A | BbM7 F/A | F6 BbM7 | C7 F6 |
A7 | A7 | D7 | D7 |
G7 | G7 | C7 Co7 | Gm7 C7 |
F6 F7/A | BbM7 C7 | F6 Abo7 | G7 C7 |
F6 F7/A | BbM7 F/A | F6 BbM7 | C7 F6 |"
Vierd Blues,Miles Davis,Bb,4 4,12,"Bb7 | Bb7 | Bb7 | Bb7 |
Eb7 | Eb7 | Bb7 | Bb7 |
Cm7 | F7 | Bb7 | Cm7 F7 |"
Take The Coltrane,Duke Ellington,F,4 4,12,"F7 | F7 | F7 | F7 |
Bb7 | Bb7 | F7 | F7 |
G7 | C7 | F7 | F7 |"
Sakeena's Vision,Wayne Shorter,Bb,4 4,40,"Bbm7 Eb7b9 | Am7 D7b9 | Gm | Ebm7 Ab7 |
Dm7 | DbM7 | Fm7 | EM7 |
Gm6 | Gm6 | Bbm7 Eb7b9 | Am7 D7b9 |
Gm | Ebm7 Ab7 | Dm7 | DbM7 |
Fm7 | EM7 | Gm6 | Gm6 |
Bb6 | Am7 D7#9 | Gm6 | Fm7 E7b9 |
Ab6 | Dm7 G7 | C6 | B6 |
Bbm7 Eb7b9 | Am7 D7b9 | Gm | Ebm7 Ab7 |
Dm7 | DbM7 | Fm7 | EM7 |
Gm6 | Gm6 | Gm6 | Gm6 |"
You've Got to See Mama Every Night,Con Conrad and Billy Rose,Bb,4 4,16,"Bb F7+ | Bb G7 | C7 F7 | Bb |
Bb F7+ | Bb Bb G7 G7b5 | F C7 | F |
Bb7 | Bb7 | Eb7 | Gb7 |
Bb F7+ | Bb G7 | C7 F7 | Bb |"
Soul Surge,Freddie Hubbard,F,7 4,12,"F7 | F7 | F7 | F7 |
Bb7 | Bb7 | F7 | F7 |
C7 | Bb7 | F7 | F7 |"
Strike Up The Band,George Gershwin,C,4 4,32,"Bb | Bb | Bo | Bo |
F7 | F7 | Bb | Bb Bb7 |
Eb | Eb | Eo | Eo |
Bb7 | Bb7 | Eb | Cm7 F7 |
Bb | Bb | Am7b5 | D7 |
Gm | Gm7 C7 | F7 | F7 |
Bb | Bb | Dm7b5 | G7 |
Cm7 | F7 | Bb | Bb |"
Winterlude,Bob Dylan,C,4 4,36,"Fmaj13 D7b9#11 | G13 C7#5#9 | Fmaj13 D7b9#11 | G13 C7#5#9 |
Fmaj7 F/E | F/D F/C | Bb69 Bdim | F/C C13 |
Fmaj7 F/E | F/D F/C | Bb69 Bdim | C7 C7 C#dim C#dim |
Dm Dm/C | Bbmaj7 A7 | Dm Ab13 | Gm11 Gm11 C7 C#dim |
Dm Dm/C | Bbmaj7 A7 | Dm Ab13 | Gm11 C7 |
Fmaj7 F/E | F/D F/C | Bb69 Bdim | F/C C13 |
Fmaj7 F/E | F/D F/C | Gm7 Am7 | Bbmaj7 Bdim |
C11 | C9 C7b9 | Fmaj13 D7b9#11 | G13 C7#5#9 |
Fmaj13 D7b9#11 | G13 C7#5#9 | Fmaj13 | Fmaj13 |"
Sirabhorn,Pat Metheny,C,3 4,44,"C | Bbm7 | Gb | Em7 |
B | G#m7 | E | Dm |
GbM7 | Fm7 | GbM7 | Fm7 |
DM7#11 | DM7#11 | DM7#11 | DM7#11 |
C | Bbm7 | Gb | Em7 |
B | G#m7 | E | Dm |
GbM7 | Fm7 | GbM7 | Fm7 |
DM7#11 | DM7#11 | DM7#11 | DM7#11 |
A | G | F#m9 FM7#11 | FM7#11 |
E7sus4 | E7sus4 | E7sus4 | E7sus4 |
E7sus4 | E7sus4 | E7sus4 | E7sus4 |"
This Is All I Ask,Gordon Jenkins,F,4 4,32,"FM7 | D7b9 | Gm7 Gm7 Gm7 C7b9 | FM7 |
Dm7 | Gm7 C7#5 | FM7 | Bm7b5 E7 |
Am7 | Am7 | D7 | D7 |
G7 | G7 | C7 | C7#5 C7#5 C7#5 C7 |
FM7 | D7b9 | Gm7 Gm7 Gm7 C7b9 | FM7 |
Dm7 | Gm7 C7#5 | FM7 | A7b9 |
Bb6 | Bm7b5 E7 | Am7 | D7#5 |
Gm7 | C7 | F6 | Gm7 C7 |"
Strollin',Horace Silver,Db,4 4,32,"DbM7 | DbM7 | Em7 A7 | Ebm7 Ab7 |
DbM7 | DbM7 | Abm7 Db7 | Gm7 C7 |
Fm7 | Bb7#9 | Ebm7 | Ebm7 Ab7+ |
DbM7 | Bbm11 | Eb7#11 | Ebm7 Ab7+ |
DbM7 | DbM7 | Em7 A7 | Ebm7 Ab7 |
DbM7 | DbM7 | Abm7 Db7 | Gm7 C7 |
Fm7 | Bbm11 | Eb7#11 | Gbm7 B7 |
Fm7 Bb7 | Ebm7 Ab7 | Db E7 | Ebm7 Ab7 |"
Spring Can Really Hang You Up The Most,Tommy Wolf,C,4 4,40,"CM7 BbM7 | CM7 BbM7 | CM7 Am7 Dm7 G7 | Em7 A7b9 |
F#m7b5 Fm7 | Em7 Am7 D7sus4 D7 | Dm7 Dm7 G7sus4 G7 | CM7 BbM7 |
CM7 BbM7 | CM7 BbM7 | CM7 Am7 Dm7 G7 | Em7 A7b9 |
F#m7b5 Fm7 | Em7 Am7 D7sus4 D7 | Dm7 G7 | CM7 |
Gm7 CM7 | Gm7 CM7 | Gm7 CM7 | Gm7 CM7 |
Cm7 FM7 | Cm7 FM7 | F#m7 B7 EM7 EM7 | Am7 D7b9 |
GM7 FM7 | CM7 BbM7 | CM7 Am7 Dm7 G7 | Em7 A7b9 |
F#m7b5 Fm7 | Ebm7 Ab7 | Dm7 G7 | Em7 A7b9 |
Dm7 CM7 | Dm7 CM7 | Bm7b5 Bbm7 Am7 Am7 | D7sus4 D7 |
Dm7 Dm7/C Bb7 Bb7 | Em7 A7 | Dm7 DbM7 | CM7 |"
Stairway to the Stars,Matty Malneck and Frank Signorelli,C,4 4,32,"CM7 Em7 Fm7 F#m7 | Gm11 C7 | FM7 | Bb7#11 |
C Am7 | Dm7 G7 | C A7 | Dm7 G7 |
CM7 Em7 Fm7 F#m7 | Gm11 C7 | FM7 | Bb7#11 |
C Am7 | Dm7 G7 | C C Gm7 C7 | F#m7b5 B7 |
Em7 Em7 Dm7 G7 | C C Am6/B B7+ | Em EmM7 | Em7 A7 |
Dm7 F7/Eb | BbM7 BbM7 Gm6/A A7 | Dm7 A7+ | AbM7 AbM7 Dm7 G7 |
CM7 Em7 Fm7 F#m7 | Gm11 C7 | FM7 | Bb7#11 |
C Am7 | Dm7 G7 | C A7 | Dm7 G7 |"
You're Getting To Be A Habit With Me,Harry Warren,F,4 4,26,"Bb6 C7 | Bb C7 | FM7 F6 | FM7 F6 |
Bb6 C7 | Bb6 C7 | FM7 F6 | A7+ A7 D7b9 D7 |
Gm C7 | F F F/A Abo7 | Gm7 Gm7 C11 C+ | F6 F6 F6 F#o7 |
Gm C7 | F F Dm Dm7 | G6 G9 | C13 C7+ C7 F7 |
Bb6 C7 | Bb C7 | FM7 F6 | E7/B E7b5/Bb A7 D7 |
Gm Gm Gm E7 | A7 D7 | Ao7 Gm G7 C7 | F A7/E Am7 D7 |
Ao7 Gm C7 C7 | F F F F7 |"
Yesterday I Heard the Rain,Armando Manzanero,C,4 4,32,"Cmaj7 Dm7 | E7 A7b9 | Dm7 Em7 | F G9 |
Fm9 Bb9 | Bm7b5 Bbm7 | Am7 Abdim | Gm7 C7 |
Fmaj7 Bbmaj7 | Em7 A7b9 | Dm A7+ | Dm7 G7 |
F#m7b5 B7 | F#m7b5 B7 | Em7 A7b9 | Dm7 G7b9 |
Cmaj7 Dm7 | E7 A7b9 | Dm7 Em7 | F G9 |
Fm6/G# A7+ | Bb9 B9#11 | C9 B7+ | Bb9 A7+ |
Dm#5 Dm/C | Bm7b5 E7 | Am Am/G | F#m7b5 Fm |
Em7 Ebm6 | Dm7 Dbmaj7 | C Bbmaj9 | Abmaj7 G7sus |"
When,Unknown,C,4 4,36,"Bm7b5 | E7b9 | Am7b5 | D13b9 D13sus |
Gmaj7 | C9#11 | Bm7 | E9 E9 E9 Bb9 |
Am E+ | Am7 D7b9 | Gmaj7 F#7 | Fmaj7 E7b9 |
Am Abm7b5 Gm6 F#m7 | Fm11 Bb13 | Eb Eb/Db Cm7 Bbm7 | Am11 D7 |
B7alt | E7alt | A7alt | D7alt |
Gmaj7 | C9#11 | Bm7 | E9 E9 E9 Bb9 |
Am E+ | Am7 D7b9 | Gmaj7 F#7 | Fmaj7 E7b9 |
Am Abm7b5 Gm6 Gm6 | F#m7b5 B7b9 | Em Em/D | Em/C# Cm6 |
Bm7b5 Bb13/E | CmMaj7/A Am7b5/D | Gmaj13 | Ebm6 Ab13 |"
Will You Still Love Me Tomorrow?,Gerry Goffin and Carole King,C,4 4,64,"CM7 | CM7 | FM7 | Dm7/G |
CM7 | CM7 | Dm7/G | G7 |
Bm7/E | E7 | Am7 | Am7 Am7 Am7 G7 |
FM7 | G7 | FM7/C | CM7 |
CM7 | CM7 | FM7 | Dm7/G |
CM7 | CM7 | Dm7/G | G7 |
Bm7/E | E7 | Am7 | Am7 Am7 Am7 G7 |
FM7 | G7 | FM7/C | CM7 |
FM7 | FM7 | Em7 | Em7 |
FM7 | Dm7/G | CM7 | CM7 |
FM7 | FM7 | Em7 | Em7 |
Am7 | D7 | Dm7/G | G7 |
CM7 | Dm7/G | FM7 | Dm7/G |
CM7 | Dm7/G | Dm7/G | G7 |
Bm7/E | E7 | Am7 | Am7 Am7 Am7 G7 |
FM7 | G7 | Dm7/G | CM7 |"
When the Wind Blows South,Harold Arlen,C,4 4,45,"C9 | Fm6 | Am Am Am7 Am6 | G7 |
C9 | Fm6 | C/G | G9 |
C9 | Fm6 | Am Am Am7 Am6 | G7 |
C9 | Fm6 | C/G | Abm/G |
C/G C9 | F7b5 Em7b5 | F7 | F7 |
C CM7 C7 C6 | C | Ab9b5 G7sus4 | C |
F7 | F7 | C CM7 C7 C6 | C |
Ab9b5 G7sus | Am Amadd9 Am Am7 | D7b5 D9 | G13b9 G13 |
C9 | Fm6 | Am Am Am7 Am6 | G7 |
C9 | Fm6 | C C/B Am Am/G | C |
FM7 C/E | D7b5 D9 | Dm7 Dm7 Ab9 G9sus | C6 C/B C/A C/G |
F9 |"
Sometimes I'm Happy,Vincent Youmans,F,4 4,32,"FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
FM7 | Cm7 F7 | BbM7 | Bbm7 Eb7 |
FM7 | Am7 D7b9 | Gm7 | C7 |
FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
FM7 Dm7 | Gm7 C7 | FM7 Dm7 | Gm7 C7 |
F7 | F7 | Bb | Bbm |
FM7 Dm7 | Gm7 C7 | F6 | Gm7 C7 |"
Small World,Jule Styne,Eb,4 4,38,"Eb6 | Ab Eb Fm Eb | Ab Eb G7 Cm | Abm Bb7 |
Eb6 | Ab EbM7 Ab Eb | Bb Bbo | Ab Bb9 Bb9 Bb9 |
Eb6 | Ab Eb Fm Eb | Ab Eb G7 Cm | Abm Bb7 |
Eb6 | Ab EbM7 Ab Eb | Gm7 | C13 C13 Bb C9 |
Fm7 Fm7 Bb9 Bb7b9 | Eb Eb EbM7 Gbm6 | Fm7 Bb7+ | EbM7 |
Ebm7 Ab7 | Db Db Fm7 Em7 | Ebm7 Ebm7 C7+ F9 | Bb7+ |
Eb6 | Ab Eb Fm Eb | Ab Eb G7 Cm | Abm Bb7 |
Eb6 | Ab Ab Ab Eb | Bb Bb Bb Bbo | Ab Bb9 Bb9 Bb9 |
Gm7 | C7+ | F9 | Bb9 |
Eb Eb Eb Ebo | Fm7 Bb7+ |"
The Stopper,Sonny Rollins,C,4 4,24,"C | Am | F | G7 |
Am | G7 | F | G7 |
C | Am | F | G7 |
Am | G7 | F | G7 |
C | C | Em | Em |
Am | G7 | F | G7 |"
Passion Flower,Billy Strayhorn and Milton Raskin,G,4 4,32,"F#9b5 | F9b5 | F#9b5 | F9b5 |
E7#5b9 Eb7 | D7 D7b9 | G69 | G69 |
F#9b5 | F9b5 | F#9b5 | F9b5 |
E7#5b9 Eb7 | D7 D7b9 | G69 | G69 |
DbM7 | C9#11 | B9#11 | Bb7#5b9 |
A9#5 | Ab7b9 | DbM7 | Bb7b5 Eb7 Ab7b5 Db7 |
F#9b5 | F9b5 | F#9b5 | F9b5 |
E7#5b9 Eb7 | D7 D7b9 | G69 | G69 |"
When I Grow Too Old To Dream,Sigmund Romberg,F,3 4,32,"F | F | F | F |
Gm7 | C7 | F | F7 |
Bb | Bb Bb C7 | F | Dm |
F/C | C7 | F | F |
Am | Gm | F | F |
F | A7 | Dm | F7 |
Bb | Bb Bb C7 | F | Dm Dm Db7 |
F/C | C7 | F | F |"
When You're Smiling,"Mark Fisher, Joe Goodwin, Larry Shay",Bb,4 4,32,"Bb6 | Bb6 | BbM7 | BbM7 Eb7 |
Dm7 | G7#5 | Cm7 | Cm7 |
Cm | CmM7 | Cm7 | Cm7 |
F7 | F7+ | BbM7 | BbM7 |
Fm7 | Bb7 | Eb6 | Eb6 |
Gm7 | C7 | F9sus4 | F9 |
Bb6 | Bb6 | Ab9#11 | G7 |
Cm7 | F13 F13b9 | Bb6 | Cm7 F7 |"
Z's Blues,Eric Alexander,Bb,4 4,12,"Bb7 | F7 | Bb7 | E7 |
Eb7 | Eo7 | Bb7 | G7b9 |
Cm7 | F7 | Bb7 | F7 |"
When My Sugar Walks Down the Street,"Gene Austin, Jimmy MHugh, and Irving Mills",G,4 4,16,"G G Dm6 E7 | A7 | D7 | G C6 G G |
G G G Go7 | D7 | D7 D7+ | G |
G G Dm6 E7 | A7 | D7 | G C6 G G7 |
E7 | Am E7 Am Am | G E7 A9 D7 | G G#o7 D7 D7 |"
The Song Is You,Jerome Kern,C,4 4,32,"CM7 Cdim | Dm7 G7 | Em7 A7 | Dm7 G7 |
CM7 Em7 | Dm7 G7 | Dm7b5 G7 | Em7 A7 Dm7 G7 |
CM7 Cdim | Dm7 G7 | Em7 A7 | Dm7 G7 |
CM7 A7 | Dm7 G7 | C6 | C6 |
EM7 | F#m7 B7 | EM7 | A#m7 D#7 |
G#m9 | C#7 | F#7 | B7 G7 |
CM7 Cdim | Dm7 G7 | CM7 C7 | FM7 Fm6 |
Em7 A7 | Dm7 G7 | C6 | C6 |"
Thier's Tears,Clare Fischer,Ab,4 4,36,"Fm | Fm/Eb | DbM7#11 | C7#9 |
DbM7#11 | C7 | Fm | Fm |
F7#9 | F7#9 | Bbm7 | Eb7 |
A7#9 | D7b9 | AbM7#11 G7 | C69 Gb7#11 |
Fm | Fm/Eb | DbM7#11 | C7#9 |
DbM7#11 | C7 | Fm | Fm |
F7#9 | F7#9 | Bbm7 | Eb7 |
A7#9 | D7b9 | AbM7#11 G7 | C69 Gb7#11 |
DbM7 | G7alt C7+ | Fm69 | Fm69 |"
Tiny Capers,Clifford Brown,Bb,4 4,32,"Bb D7 | Gm7 Bb7 | Eb G7 | Cm7 Bbo7 |
Bb | Dm7 G7 | C7 | Cm7 F7 |
Bb D7 | Gm7 Bb7 | Eb G7 | Cm7 Bbo7 |
Bb | Dm7 G7 | Cm7 F7 | Bb |
Bbo Eb | Eb | Bb | Fm7 Bb7 |
Bbo7 Eb | Eb | Bb G7 | Cm7 F7 |
Bb D7 | Gm7 Bb7 | Eb G7 | Cm7 Bbo7 |
Bb | Dm7 G7 | Cm7 F7 | Bb |"
Song of the Jet,Antonio Carlos Jobim,Eb,4 4,42,"EbM7/G | B7/F# | Fm7 | Gbo7 |
Gm7 | G7 | AbM7 | Abm6 |
Gm7 | Gbo7 | Gm7b5 | C7#5 |
F9 | F9 | Fm9 | Bb13 |
EbM7/G | B7/F# | Fm7 | Gbo7 |
Gm7 | G7 | AbM7 | Abm6 |
Gm7 | Gbo7 | Gm7b5 | C7#5 |
F9 | F9 | Fm9 | Bb13 |
Gm7 | C7#5 | Fm9 | Fm9 |
Fm9 | Fm9 | F9 | F9 |
E7#9 | E7#9 |"
The Weight,J. Robbie Robertson,F,4 4,15,"F Am | Bb F | F Am | Bb F |
F Am | Bb F | F Am | Bb F |
F C Bb Bb | F C Bb Bb | F C Bb Bb | Bb |
Bb | F C Dm Am | Bb |"
Solar,Miles Davis,Eb,4 4,12,"Cm69 | Cm69 | Gm7 | C7 |
FM9 | FM9 | Fm7 | Bb7 |
EbM9 | Ebm7 Ab7 | DbM9 | Dm7b5 G7alt |"
A Thousand Violins,Jay Livingston & Ray Evans,C,4 4,32,"Am | B7 | E7 E7+ | Am |
Dm | Am | E7b9 E7 | Am Am Am E7 |
Am | B7 | E7 E7+ | Am |
Dm | Am | E7b9 | Am |
Dm7 G7 G7 G7 | Dm C C C | Dm E+ E+ E+ | Am |
Dm6 | Am | Am B7b9 Am6 B7 | Dm E7b9 Dm6 E7 |
Am | B7 | E7 E7+ | Am |
Dm | Am | E7b9 E7b9 E7b9 Dm6 | Am |"
The Scene Is Clean,Tadd Dameron,C,4 4,32,"Cm7 F7+ | Bm7 Eb7+ | Abm7 Db7 | G7b9 C7 |
Bbm7 Eb7 | AbM7 F7b9 | Bbm7 Eb7 | Cm7 F7b9 |
Bbm7 | Dbm7 Gb7 | Gm7b5 | C7alt |
CM7 | Cm7 F7 | BbM7 | Dm7b5 G7alt |
Cm7 F7+ | Bbm7 Eb7+ | Abm7 Db7 | G7b9 C7 |
Bbm7 Eb7 | AbM7 F7b9 | Bbm7 Eb7 | Cm7 F7b9 |
Bbm7 | Dbm7 Gb7 | Cm7 | F7b9 |
Bbm7 A7 G7 Gb7 | F7 E7 Bbm7 Eb7 | AbM7 | Dm7 G7alt |"
