title,composedby,key,timesig,bars,chordprog
I'm All Smiles,Michael Leonard,C,3 4,78,"D7alt | Gm7 | Db7alt | CM7 |
Am7 | D7 | Bm7 | E7 |
C#m7 | F#7 | BM7 | G#m7 |
Em7 | A7 | DM7 | DM7 |
D7alt | Gm7 | Db7alt | CM7 |
Am7 | D7 | Bm7 | E7 |
C#m7 | F#7 | BM7 | G#m7 |
Em7 | A7 | DM7 | DM7 |
GbM7 | Ab7 | Fm7 | Bb7 |
Gm7b5 | C7b9 | FM7 | BbM7 |
Em7 | A7 | DM7 | GM7 |
F#m7 | B7#11 | Bb7 | A7 |
D7alt | Gm7 | Db7alt | CM7 |
Am7 | D7 | Bm7 | E7 |
C#m7 | F#7 | BM7 | G#m7 |
Em7 | A7 | DM7 | D7 |
GM7 | E7/G# | A7 | A7/G |
F#m7 | Bm7 | Em7 | Em7/A |
F#7 | Bm7 | Em7 | Em7/A A7 |
DM7 | DM7 |"
Never On Sunday,Manos Hadjidakis,Eb,4 4,49,"Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | Eb Eb Co7 Bb7 |
Eb6 | Eb6 | Bb7 | Bb7 |
Fm7 | Fm7 Bb7 | Eb6 | Eb Eb Co7 Bb7 |
Eb6 | Eb6 | Bb7 | Bb7 |
Fm7 | Fm7 Bb7 | Eb6 | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | NC |
Fm Bb7 | Fm Bb7 | Eb | Eb |
NC |"
On A Slow Boat To China,Frank Loesser,Bb,4 4,32,"BbM7 | G7b9 | Cm7 | C#o7 |
BbM7 | D7b9 | Eb6 | Dm7b5 G7alt |
Cm7 | C#o7 | BbM7 | G7 |
C7 | Gm7 C7 | Cm7 | F7 |
BbM7 | G7b9 | Cm7 | C#o7 |
BbM7 | D7b9 | Eb6 | Dm7b5 G7alt |
Cm7 | Ab7 | BbM7 Ab7 | G7 |
C7 | Cm7 F7 | BbM7 Gm7 | Cm7 F7 |"
Misty,Erroll Garner,Eb,4 4,32,"EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
EbM7 Cm7 | Fm7 Bb7 | Gm7 C7 | Fm7 Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 Abm | EbM7 |
Bbm7 | Eb7 | AbM7 | AbM7 |
Am7 | D7 F7 | Bb7 C7 | F7 Bb7 |
EbM7 | Bbm7 Eb7 | AbM7 | Abm7 Db7 |
EbM7 Cm7 | Fm7 Bb7 | EbM7 | Bb7sus4 |"
Manteca,"Dizzy Gillespie, Walter G. Fuller, and Chano Pozo",Eb,4 4,40,"Bb G7alt | Cm7 F7 | Dm7 G7alt | Cm7 F7 |
Bb7 Bb7/D | Eb6 Eo7 | Bb/F G7alt | Cm7 Cm7 F7 F7alt |
Bb G7alt | Cm7 F7 | Dm7 G7alt | Cm7 F7 |
Bb7 Bb7/D | Eb6 Eo7 | Bb/F G7alt | Cm7 Cm7 F7 F7alt |
Abm7 | Db7 | GbM7 | GbM7 |
Bb7#11 | Eb7#11 | AbM7 | AbM7 |
Abm7 | Db7alt | GbM7 | F#m7 B7 |
Fm7 | Bb7alt | Ebm7 | F#m7 B7 |
Bb G7alt | Cm7 F7 | Dm7 G7alt | Cm7 F7 |
Bb7 Bb7/D | Eb6 Eo7 | Bb/F G7alt | Cm7 F7alt |"
Jumpin' with Symphony Sid,Lester Young and Buddy Feyne,Bb,4 4,12,"Bb7 | Bb7 | Bb7 | Bb7 |
Eb7 | Eb7 | Bb7 | Dm7 G7 |
Cm7 | F7 | Bb7 | Bb7 |"
Ju Ju,Wayne Shorter,C,4 4,12,"B7+ | B7+ | B7+ | B7+ |
Bb7+ | A7 | AbM7 | Em7 |
FM7 | Bm7 | FM7 | Bm7 |"
House Of Jade,Wayne Shorter,Eb,4 4,24,"Dm7b5 DbM7 | Cm7 Db7#11 | Eb7 F7 | Db7 Cm7 |
Dm7b5 DbM7 | Cm7 Db7#11 | Eb7 F7 | Db7 Cm7 |
Bbm9/Eb | Bbm9/Eb | Bbm9/Eb | Bbm9/Eb |
Am9/D | Am9/D D7 | Em7 | Eb7#11 |
Dm7b5 DbM7 | Cm7 Db7#11 | Eb7 F7 | Db7 Cm7 |
Dm7b5 DbM7 | Cm7 Db7#11 | Eb7 F7 | Db7 Cm7 |"
Ladies in Mercedes,Steve Swallow,C,4 4,32,"GM7 | GM7 | C7 | C7 |
Bm7 | Bm7 | E7 | E7 |
Db7 | Db7 | Gbm7 | Gbm7 |
Ebm7b5 | Ebm7b5 | Ab7b9 | Ab7b9 |
DbM7 | DbM7 | Gb7 | Gb7 |
Fm7 | Fm7 | Bb7 | Bb7 |
G7+ | G7+ | Cm7 | Cm7 |
Am7b5 | Am7b5 | D7b9 | D7b9 |"
Locomotive,Thelonious Monk,Eb,4 4,20,"EbM7 | EbM7 | EbM7 | EbM7 |
EbM7 | EbM7 | EbM7 | EbM7 |
Bbm7 Eb7 | Bbm7 Eb7 | Bbm7 Eb7 | Em7 A7#11 |
Bbm7 Eb7 | Bbm7 Eb7 | Bbm7 Eb7 | F#7 F7b9 Bb7b5 Bb7b5 |
EbM7 | EbM7 | EbM7 | EbM7 |"
